,county_of_birth,mean_predicted_lbw
0,adams county,0.8205112520607263
1,allen county,0.8665378125874142
2,ashland county,0.916172395777339
3,ashtabula county,0.7586668436592665
4,athens county,0.8027557008992418
5,auglaize county,0.9719866045770944
6,belmont county,0.7897873585908838
7,brown county,0.8789382966601812
8,butler county,1.0739913606273452
9,carroll county,0.9192536472537355
10,champaign county,0.8502873932104962
11,clark county,0.8199726585643973
12,clermont county,0.9067280429283737
13,clinton county,0.8481883431549568
14,columbiana county,0.8531400440210519
15,coshocton county,0.8529867560182798
16,crawford county,0.802449370506459
17,cuyahoga county,0.997285217092807
18,darke county,0.9659315076263324
19,defiance county,0.8947504822440928
20,delaware county,0.9430631620462647
21,erie county,0.7979912396700205
22,fairfield county,0.9083667314168004
23,fayette county,0.8934004343028775
24,franklin county,1.187625318633521
25,fulton county,0.9227795363831262
26,gallia county,0.9334316463509632
27,geauga county,0.9873564400977927
28,greene county,0.9273923512866076
29,guernsey county,0.8620280843465602
30,hamilton county,1.0821873537477253
31,hancock county,0.9517087178764491
32,hardin county,0.9048142336713062
33,henry county,0.9123444506902292
34,highland county,0.9106015745186868
35,hocking county,0.8474758431624351
36,holmes county,1.2035310172538836
37,huron county,0.9093531100591625
38,jackson county,0.9189491797705197
39,jefferson county,0.8391728927292417
40,knox county,0.9776825067560395
41,lake county,0.9599592665815331
42,licking county,0.9434318678720759
43,logan county,0.9077820853755221
44,lorain county,0.985879312829063
45,lucas county,0.8923858301001504
46,madison county,0.9082013727814001
47,mahoning county,0.8637609039408749
48,marion county,0.7905315713136344
49,medina county,0.9536446357246469
50,meigs county,0.8165842805678158
51,mercer county,1.0185628352597096
52,miami county,0.9205482784683653
53,monroe county,0.7796066780450939
54,montgomery county,0.9855199447161376
55,morgan county,0.9664037796459373
56,morrow county,0.9645210920461289
57,muskingum county,0.9016740168627965
58,noble county,0.9930756616206311
59,ottawa county,0.9360061912226868
60,paulding county,0.8963159853536267
61,perry county,0.9183087651266549
62,pickaway county,0.8911192630564193
63,pike county,0.859396073791501
64,portage county,0.8318768345765442
65,preble county,0.9418429077741443
66,richland county,0.8980285310441485
67,ross county,0.8934499047621622
68,sandusky county,0.8922956682921259
69,scioto county,0.7677567579059027
70,seneca county,0.8947464696032044
71,shelby county,0.8665765646615095
72,stark county,1.0145377780424367
73,summit county,1.0042237632156004
74,trumbull county,0.9791201214723305
75,tuscarawas county,0.8320958158449305
76,union county,0.9775666331368036
77,van wert county,0.8970020750414762
78,vinton county,0.9706114357258453
79,warren county,0.9703414309638536
80,washington county,0.8501879401587404
81,wayne county,1.0145920959281531
82,williams county,0.9199206575428246
83,wood county,0.8628193134744903
84,wyandot county,0.9567251163260175
